,ranking,name,position,age,nation,club,value,matches,goals,assist,yellowcard,redcard,subsin,subsout,league
119,120.0,Luke Shaw,Left-Back,26.0,England,Manchester United,€42.00m,27,1,5,10,0,1,6,Premier League
120,121.0,Nuno Mendes,Left-Back,19.0,Portugal,Paris Saint-Germain,€40.00m,35,0,3,4,0,9,11,Ligue 1
121,122.0,Yéremy Pino,Right Winger,19.0,Spain,Villarreal CF,€40.00m,39,10,7,6,0,12,24,LaLiga
122,123.0,Edmond Tapsoba,Centre-Back,23.0,Burkina Faso,Bayer 04 Leverkusen,€40.00m,30,1,0,4,0,4,1,Bundesliga
123,124.0,Darwin Núñez,Centre-Forward,22.0,Uruguay,SL Benfica,€40.00m,33,26,2,7,0,8,19,Liga Portugal
124,125.0,Luis Díaz,Left Winger,25.0,Colombia,Liverpool FC,€40.00m,40,18,6,3,0,7,23,Premier League
125,126.0,Ronald Araújo,Centre-Back,23.0,Uruguay,FC Barcelona,€40.00m,33,4,0,5,0,7,4,LaLiga
126,127.0,Wesley Fofana,Centre-Back,21.0,France,Leicester City,€40.00m,1,1,0,0,0,0,1,Premier League
127,128.0,Aurélien Tchouameni,Defensive Midfield,22.0,France,AS Monaco,€40.00m,43,4,2,9,0,2,6,Ligue 1
128,129.0,Rodrygo,Right Winger,21.0,Brazil,Real Madrid,€40.00m,36,2,7,5,0,19,16,LaLiga
129,130.0,Raphinha,Right Winger,25.0,Brazil,Leeds United,€40.00m,28,9,3,6,0,2,5,Premier League
130,131.0,Sandro Tonali,Defensive Midfield,21.0,Italy,AC Milan,€40.00m,41,2,8,9,0,8,15,Serie A
131,132.0,Kalvin Phillips,Defensive Midfield,26.0,England,Leeds United,€40.00m,15,1,1,2,0,0,2,Premier League
132,133.0,Alexander Isak,Centre-Forward,22.0,Sweden,Real Sociedad,€40.00m,34,8,4,3,0,7,24,LaLiga
133,134.0,Ben White,Centre-Back,24.0,England,Arsenal FC,€40.00m,32,0,0,1,0,0,2,Premier League
134,135.0,Marco Asensio,Right Winger,26.0,Spain,Real Madrid,€40.00m,34,10,1,2,0,15,15,LaLiga
135,136.0,Presnel Kimpembe,Centre-Back,26.0,France,Paris Saint-Germain,€40.00m,34,2,1,8,0,1,5,Ligue 1
136,137.0,Rodrigo de Paul,Central Midfield,27.0,Argentina,Atlético de Madrid,€40.00m,37,2,2,7,0,11,14,LaLiga
137,138.0,Patrik Schick,Centre-Forward,26.0,Czech Republic,Bayer 04 Leverkusen,€40.00m,24,20,3,0,0,3,17,Bundesliga
138,139.0,Thomas Partey,Defensive Midfield,28.0,Ghana,Arsenal FC,€40.00m,29,2,3,6,0,2,7,Premier League
139,140.0,Rúben Neves,Defensive Midfield,25.0,Portugal,Wolverhampton Wanderers,€40.00m,32,4,2,11,0,2,4,Premier League
140,141.0,Gonçalo Guedes,Left Winger,25.0,Portugal,Valencia CF,€40.00m,35,13,6,2,0,4,18,LaLiga
141,142.0,José Gayà,Left-Back,26.0,Spain,Valencia CF,€40.00m,23,2,4,6,0,1,7,LaLiga
142,143.0,Paulo Dybala,Second Striker,28.0,Argentina,Juventus FC,€40.00m,29,13,6,3,0,6,13,Serie A
143,144.0,Thomas Lemar,Attacking Midfield,26.0,France,Atlético de Madrid,€40.00m,29,4,6,2,0,8,16,LaLiga
144,145.0,Gerard Moreno,Centre-Forward,29.0,Spain,Villarreal CF,€40.00m,21,12,4,3,0,5,5,LaLiga
145,146.0,Riyad Mahrez,Right Winger,31.0,Algeria,Manchester City,€40.00m,39,22,7,0,0,12,7,Premier League
146,147.0,Pierre-Emile Höjbjerg,Central Midfield,26.0,Denmark,Tottenham Hotspur,€40.00m,40,3,4,2,0,5,4,Premier League
147,148.0,Marcelo Brozovic,Defensive Midfield,29.0,Croatia,Inter Milan,€40.00m,37,1,2,6,0,0,14,Serie A
148,149.0,Wilfried Zaha,Left Winger,29.0,Cote d'Ivoire,Crystal Palace,€40.00m,32,10,3,4,0,4,3,Premier League
149,150.0,Yannick Carrasco,Left Winger,28.0,Belgium,Atlético de Madrid,€40.00m,34,3,6,5,1,4,14,LaLiga
150,151.0,Aaron Wan-Bissaka,Right-Back,24.0,England,Manchester United,€38.00m,24,0,0,2,1,1,1,Premier League
151,152.0,Emile Smith Rowe,Attacking Midfield,21.0,England,Arsenal FC,€38.00m,30,11,2,0,0,9,11,Premier League
152,153.0,Ben Chilwell,Left-Back,25.0,England,Chelsea FC,€38.00m,12,3,1,0,0,3,2,Premier League
153,154.0,André Silva,Centre-Forward,26.0,Portugal,RB Leipzig,€38.00m,41,17,8,2,0,10,19,Bundesliga
154,155.0,Roberto Firmino,Centre-Forward,30.0,Brazil,Liverpool FC,€38.00m,26,9,4,3,0,12,8,Premier League
155,156.0,Antony,Right Winger,22.0,Brazil,Ajax Amsterdam,€35.00m,34,12,11,4,0,2,17,Eredivisie
156,157.0,Karim Adeyemi,Centre-Forward,20.0,Germany,Red Bull Salzburg,€35.00m,36,19,4,5,0,4,28,Bundesliga
157,158.0,Pedro Neto,Left Winger,22.0,Portugal,Wolverhampton Wanderers,€35.00m,5,0,0,0,0,4,1,Premier League
158,159.0,Ryan Gravenberch,Central Midfield,19.0,Netherlands,Ajax Amsterdam,€35.00m,38,2,6,5,0,5,12,Eredivisie
159,160.0,Tanguy Ndombélé,Central Midfield,25.0,France,Olympique Lyon,€35.00m,23,2,2,3,0,7,10,Ligue 1
160,161.0,Douglas Luiz,Defensive Midfield,23.0,Brazil,Aston Villa,€35.00m,26,1,3,6,0,1,8,Premier League
161,162.0,Lucas Paquetá,Attacking Midfield,24.0,Brazil,Olympique Lyon,€35.00m,34,9,5,4,0,6,11,Ligue 1
162,163.0,Youssef En-Nesyri,Centre-Forward,24.0,Morocco,Sevilla FC,€35.00m,25,4,3,1,0,10,12,LaLiga
163,164.0,Pedro Gonçalves,Right Winger,23.0,Portugal,Sporting CP,€35.00m,33,14,10,5,0,6,19,Liga Portugal
164,165.0,Cristian Romero,Centre-Back,23.0,Argentina,Tottenham Hotspur,€35.00m,24,1,0,10,0,1,3,Premier League
165,166.0,Ollie Watkins,Centre-Forward,26.0,England,Aston Villa,€35.00m,28,7,1,6,0,3,3,Premier League
166,167.0,Emiliano Buendía,Right Winger,25.0,Argentina,Aston Villa,€35.00m,28,2,4,1,0,7,16,Premier League
167,168.0,Hirving Lozano,Right Winger,26.0,Mexico,SSC Napoli,€35.00m,31,5,4,1,1,10,19,Serie A
168,169.0,Scott McTominay,Defensive Midfield,25.0,Scotland,Manchester United,€35.00m,32,2,1,9,0,2,10,Premier League
169,170.0,Jarrod Bowen,Right Winger,25.0,England,West Ham United,€35.00m,39,12,11,4,0,5,13,Premier League
170,171.0,Robin Gosens,Left Midfield,27.0,Germany,Inter Milan,€35.00m,12,2,2,3,0,5,4,Serie A
171,172.0,Manuel Locatelli,Defensive Midfield,24.0,Italy,Juventus FC,€35.00m,39,3,5,6,0,9,12,Serie A
172,173.0,Hakim Ziyech,Attacking Midfield,29.0,Morocco,Chelsea FC,€35.00m,32,8,5,4,0,8,16,Premier League
173,174.0,Nabil Fekir,Attacking Midfield,28.0,France,Real Betis Balompié,€35.00m,38,10,8,10,2,1,18,LaLiga
174,175.0,Andreas Christensen,Centre-Back,25.0,Denmark,Chelsea FC,€35.00m,29,2,1,2,0,3,7,Premier League
175,176.0,Domenico Berardi,Right Winger,27.0,Italy,US Sassuolo,€35.00m,29,14,14,8,0,0,15,Serie A
176,177.0,Raphaël Guerreiro,Left-Back,28.0,Portugal,Borussia Dortmund,€35.00m,24,5,3,1,0,4,10,Bundesliga
177,178.0,Niklas Süle,Centre-Back,26.0,Germany,Bayern Munich,€35.00m,33,1,2,3,0,7,7,Bundesliga
178,179.0,Saúl Ñíguez,Central Midfield,27.0,Spain,Chelsea FC,€35.00m,23,1,1,3,0,10,5,Premier League
179,180.0,Hakan Calhanoglu,Central Midfield,28.0,Turkey,Inter Milan,€35.00m,37,6,9,8,0,4,25,Serie A
180,181.0,Stefan de Vrij,Centre-Back,30.0,Netherlands,Inter Milan,€35.00m,31,1,0,3,0,2,6,Serie A
