,ranking,name,position,age,nation,club,value,matches,goals,assist,yellowcard,redcard,subsin,subsout
77,78,Jonathan David,Centre-Forward,22,Canada,LOSC Lille,€50.00m,39,17,0,2,0,4,20
78,79,Mason Greenwood,Right Winger,20,England,Manchester United,€50.00m,24,6,2,2,0,4,14
79,80,Amine Gouiri,Centre-Forward,22,France,OGC Nice,€50.00m,38,14,10,4,0,4,16
80,81,Pau Torres,Centre-Back,25,Spain,Villarreal CF,€50.00m,38,5,0,4,0,0,1
81,82,Carlos Soler,Central Midfield,25,Spain,Valencia CF,€50.00m,30,11,5,4,0,6,8
82,83,Rafael Leão,Left Winger,22,Portugal,AC Milan,€50.00m,35,11,8,4,0,6,20
83,84,Arnaut Danjuma,Left Winger,25,Netherlands,Villarreal CF,€50.00m,28,13,4,2,0,6,12
84,85,Mikel Merino,Central Midfield,25,Spain,Real Sociedad,€50.00m,35,4,3,8,0,0,9
85,86,James Maddison,Attacking Midfield,25,England,Leicester City,€50.00m,40,13,7,6,0,12,15
86,87,Ferland Mendy,Left-Back,26,France,Real Madrid,€50.00m,26,1,2,7,0,2,7
87,88,Lucas Hernández,Centre-Back,26,France,Bayern Munich,€50.00m,29,0,1,8,0,1,13
88,89,José María Giménez,Centre-Back,27,Uruguay,Atlético de Madrid,€50.00m,28,0,1,8,1,1,5
89,90,Ederson,Goalkeeper,28,Brazil,Manchester City,€50.00m,36,0,0,3,0,0,1
90,91,N'Golo Kanté,Defensive Midfield,31,France,Chelsea FC,€50.00m,31,2,4,2,0,9,11
91,92,Piotr Zielinski,Attacking Midfield,27,Poland,SSC Napoli,€50.00m,36,7,5,2,0,5,23
92,93,Timo Werner,Centre-Forward,26,Germany,Chelsea FC,€50.00m,29,8,4,1,0,13,8
93,94,Antoine Griezmann,Second Striker,31,France,Atlético de Madrid,€50.00m,29,8,5,2,1,7,14
94,95,Robert Lewandowski,Centre-Forward,33,Poland,Bayern Munich,€50.00m,37,45,4,2,0,0,6
95,96,Casemiro,Defensive Midfield,30,Brazil,Real Madrid,€50.00m,38,0,4,14,0,2,8
96,97,Theo Hernández,Left-Back,24,France,AC Milan,€48.00m,33,4,10,7,1,2,2
