,ranking,name,position,age,nation,club,value,matches,goals,assist,yellowcard,redcard,subsin,subsout
97,98,Harry Maguire,Centre-Back,29,England,Manchester United,€48.00m,31,2,0,7,0,1,2
98,99,Ferran Torres,Right Winger,22,Spain,FC Barcelona,€45.00m,22,10,6,1,0,1,10
99,100,Dayot Upamecano,Centre-Back,23,France,Bayern Munich,€45.00m,30,1,4,6,0,4,3
100,101,Tammy Abraham,Centre-Forward,24,England,AS Roma,€45.00m,40,23,4,9,0,3,16
101,102,Diego Carlos,Centre-Back,29,Brazil,Sevilla FC,€45.00m,37,3,0,5,0,1,4
102,103,Caglar Söyüncü,Centre-Back,25,Turkey,Leicester City,€45.00m,38,1,0,6,0,1,2
103,104,Christian Pulisic,Right Winger,23,United States,Chelsea FC,€45.00m,28,6,4,2,0,12,8
104,105,Dominic Calvert-Lewin,Centre-Forward,25,England,Everton FC,€45.00m,11,3,1,2,0,2,4
105,106,Fikayo Tomori,Centre-Back,24,England,AC Milan,€45.00m,31,1,0,4,0,2,2
106,107,Franck Kessié,Central Midfield,25,Cote d'Ivoire,AC Milan,€45.00m,35,7,1,1,0,6,9
107,108,Dani Olmo,Attacking Midfield,23,Spain,RB Leipzig,€45.00m,20,4,5,1,0,10,10
108,109,Lorenzo Pellegrini,Attacking Midfield,25,Italy,AS Roma,€45.00m,30,11,5,3,0,4,11
109,110,Tomas Soucek,Defensive Midfield,27,Czech Republic,West Ham United,€45.00m,43,6,1,3,0,3,4
110,111,Ángel Correa,Second Striker,27,Argentina,Atlético de Madrid,€45.00m,40,12,6,4,1,17,16
111,112,Aymeric Laporte,Centre-Back,27,Spain,Manchester City,€45.00m,31,3,0,6,1,1,6
112,113,Memphis Depay,Centre-Forward,28,Netherlands,FC Barcelona,€45.00m,30,11,2,4,0,7,4
113,114,Jorginho,Defensive Midfield,30,Italy,Chelsea FC,€45.00m,39,9,3,5,0,6,13
114,115,Kalidou Koulibaly,Centre-Back,30,Senegal,SSC Napoli,€45.00m,32,2,3,7,1,0,1
115,116,Marc-André ter Stegen,Goalkeeper,29,Germany,FC Barcelona,€45.00m,39,0,0,3,0,0,1
116,117,Mateo Kovacic,Central Midfield,27,Croatia,Chelsea FC,€45.00m,36,2,5,6,0,8,14
117,118,Giovanni Reyna,Attacking Midfield,19,United States,Borussia Dortmund,€42.00m,11,2,2,0,0,4,6
118,119,Martin Ødegaard,Attacking Midfield,23,Norway,Arsenal FC,€42.00m,31,6,4,3,0,4,13
119,120,Luke Shaw,Left-Back,26,England,Manchester United,€42.00m,27,1,5,10,0,1,6
120,121,Nuno Mendes,Left-Back,19,Portugal,Paris Saint-Germain,€40.00m,35,0,3,4,0,9,11
121,122,Yéremy Pino,Right Winger,19,Spain,Villarreal CF,€40.00m,39,10,7,6,0,12,24
122,123,Edmond Tapsoba,Centre-Back,23,Burkina Faso,Bayer 04 Leverkusen,€40.00m,30,1,0,4,0,4,1
